observation_id,year,month,latitude,longitude,water_table_depth_ft,long_term_average_depth_ft,rock_type_code
540677,2022,7,48.60748,-108.25394,29.9,7.33224661507323,3
541331,2022,3,46.77860688,-105.3031415,33.47,1.81053762948908,3
542013,2022,4,47.52064673,-111.716063,34.29,21.982815668274,3
542186,2022,3,46.11777849,-111.5297679,20.92,0.830732991230992,4
543222,2022,5,47.119618,-106.104213,31.1,8.93054829600749,3
544009,2022,2,46.2438319,-105.2725355,77.8,61.3687483651526,11
544447,2022,1,48.82924814,-108.5641232,45.2867741935484,10.270114192153,3
545160,2022,4,48.32927139,-111.1441447,32.97,15.1893441989322,3
547665,2022,1,46.1387542,-107.5540911,7.44548387096774,0.770170281875633,4
547969,2022,6,47.3183,-104.10047,61.9036666666667,19.3004486422407,3
548133,2022,2,45.42749433,-105.9176576,33.5,18.7100654170562,3
549624,2022,3,34.93599444,-80.6975722,30.25,19.5075520989676,6
549710,2022,11,34.94177778,-77.27625,4.86,3.73752959386475,1
550014,2022,1,35.19055556,-79.50388889,78.35,37.8209337423901,2
552707,2022,3,35.69034444,-76.5283,1.66,1.79899978942432,4
553599,2022,1,35.77105,-81.1473472,38.1,29.2018705596645,6
554573,2022,9,35.9335833,-76.5901111,9.25,6.74091534750588,4
555146,2022,1,36.06444444,-78.6955556,26.34,65.8503981462307,4
555449,2022,2,36.27952778,-81.71763889,29.44,14.7559621114069,6
556469,2022,1,35.28194,-77.8708,12.4012903225806,7.09616685303905,3
558529,2022,1,36.165368,-76.650354,5.6990625,26.1858786582982,3
581390,2022,10,46.4145444,-100.6354972,18.49,0.234397245912635,2
583593,2022,7,47.4769444,-102.0111111,43.94,15.9825944142215,3
588853,2022,1,46.7625722222222,-100.373997222222,7.53709677419355,5.5102566023101,3
589239,2022,1,46.9614583333333,-102.685586111111,19.1974193548387,18.9985706713241,3
590154,2022,1,48.3703916666667,-99.7996805555556,9.6258064516129,7.76693108755517,3
590663,2022,1,48.5248388888889,-103.625922222222,26.648064516129,14.56847030371,3
590686,2022,4,40.00223506,-97.915043,10.42,7.82421255925512,1
590809,2022,4,40.01056598,-99.4131556,16.2,17.9667391762279,3
590889,2022,3,40.0249993,-101.1607158,88.2,152.911501839044,3
590911,2022,4,40.0249939,-101.629336,9.29,4.14703970823587,3
591331,2022,1,40.0286722,-101.8712611,18.22,15.371604564833,3
591514,2022,5,40.04459706,-98.2553255,9.2,2.0019974091315,1
594049,2022,2,40.14832705,-101.59628,145.26,178.699881657567,3
594485,2022,3,40.1547241,-96.881139,71.83,34.7526743558538,2
595374,2022,6,40.17806508,-99.552885,22.9,23.3685204092676,3
597399,2022,3,40.23723398,-99.2200928,161.4,101.135997475389,3
599586,2022,10,40.27723156,-98.0386528,72.05,89.2348991709131,1
617403,2022,11,40.58472387,-96.7094653,89.51,74.8312568300137,1
623958,2022,9,40.66066389,-99.8510694,4.28,2.98633409281967,3
651616,2022,6,41.0472207,-96.3166809,8.46,0.0548485748012876,1
652324,2022,12,41.04833185,-96.3152921,14.37,0.0548485748012876,1
690838,2022,3,42.00019444,-103.8534306,56.945,49.4989792632514,3
690913,2022,3,42.00124444,-104.0436056,22.57,53.8171308439373,3
691192,2022,4,42.00861156,-100.3384681,65.39,36.9776954111584,3
691227,2022,3,42.00945195,-98.3239616,50.84,58.736525897699,3
691257,2022,3,42.00971898,-101.1379415,91.73,18.6366484517303,3
692451,2022,11,42.04305809,-99.5078925,7.73,10.7287265660319,3
692594,2022,4,42.04722867,-98.5531359,4.45,14.1055956501739,3
693288,2022,12,42.0780624,-98.3675749,37.39,27.5884901551203,3
695400,2022,2,42.2046083,-98.6712333,7.81,2.79313916877471,3
699012,2022,9,42.4369443,-100.5190233,6.9,1.49299750170151,3
701445,2022,10,42.9119495,-100.2417935,147.35,6.45385718763435,3
704586,2022,11,42.7208311,-101.942662,10.26,10.6475070241636,3
719021,2022,2,42.03272778,-101.3377222,3.82,21.232066224299,3
723566,2022,1,42.1523132,-102.875145,106.580967741935,4.88859501840838,3
748752,2022,6,40.26774444,-74.81005,8.91,1.563051048099,2
751216,2022,1,40.31038498,-74.85377538,64.61,23.9766285852744,3
751289,2022,5,40.3257222,-74.5910556,27.74,21.8740536178705,2
762527,2022,3,31.82318056,-107.1458889,280.35,195.682956462341,9
762757,2022,1,31.85910498,-106.6434468,57.86,58.487006148682,4
762833,2022,2,31.879,-106.657,75.12,64.3801877857693,4
763371,2022,1,32.02098056,-105.1435194,139.33,32.4617878213328,1
763534,2022,1,32.03955278,-106.6225056,14.9,1.57113600360208,4
763548,2022,1,32.05241667,-103.1209722,95.65,23.1471087089201,2
763868,2022,3,32.1034472,-107.0101167,436.53,319.604373526586,4
764150,2022,2,32.165475,-106.6871,22.18,5.62361102633575,4
764571,2022,4,32.2103738,-106.7727799,25.36,16.1348303091442,4
768426,2022,2,32.52405556,-103.5446111,78.08,52.7184967782263,4
769566,2022,12,32.72755556,-103.4425556,93.77,158.351212589532,4
769699,2022,2,32.74628056,-105.9456889,113.66,24.8672940664734,4
775532,2022,3,34.0039722,-104.4999722,60.7,6.22601765042092,1
775536,2022,2,34.01075,-106.4618333,136.17,181.547851037466,4
775571,2022,1,34.0254611,-103.3639111,97.17,187.368968938042,4
775651,2022,1,34.03428889,-106.91795,261.82,182.01168468437,4
776629,2022,3,34.25743889,-106.8931,14.26,12.9322445808198,4
778101,2022,1,34.44168889,-104.1980694,27.43,24.0774871536342,4
