year,state,county_count,mean_frequency_pct,p90_frequency_pct,counties_ge_25_pct,drought_weeks,drought_level,minimum_weeks
2023,IL,102,33.592,52.642,71.569,1816,D1,4
2023,IN,92,31.973,43.396,80.435,1559,D1,4
2023,KS,105,85.157,100,100,4739,D1,4
2023,KY,120,19.969,32.075,26.667,1270,D1,4
2023,LA,64,51.356,84.34,100,1742,D1,4
2023,MA,14,0,0,0,0,D1,4
2023,MD,24,32.469,53.774,62.5,413,D1,4
2023,ME,16,0,0,0,0,D1,4
2023,MI,83,23.028,41.509,48.193,1013,D1,4
2023,MN,87,60.92,75.472,100,2809,D1,4
2023,MO,115,55.357,80.377,88.696,3374,D1,4
2023,MS,82,33.686,39.623,86.585,1464,D1,4
2023,MT,56,52.46,100,76.786,1557,D1,4
2023,NC,100,20.17,30.377,13,1069,D1,4
2023,ND,53,46.422,79.245,75.472,1304,D1,4
2023,NE,93,85.109,100,100,4195,D1,4
2023,NH,10,0,0,0,0,D1,4
2023,NJ,21,6.11,11.321,0,68,D1,4
2023,NM,33,79.302,100,100,1387,D1,4
2023,NV,17,39.734,78.491,76.471,358,D1,4
2023,NY,62,8.673,38.302,14.516,285,D1,4
2023,OH,88,16.102,28.868,19.318,751,D1,4
2023,OK,77,62.166,100,87.013,2537,D1,4
2023,OR,36,74.109,100,100,1414,D1,4
2023,PA,67,12.898,25.283,10.448,458,D1,4
2023,RI,5,0,0,0,0,D1,4
2023,SC,46,16.653,27.358,17.391,406,D1,4
2023,SD,66,52.544,79.245,90.909,1838,D1,4
2023,TN,95,24.369,30.189,40,1227,D1,4
2023,TX,254,69.566,100,94.094,9365,D1,4
2023,UT,29,48.992,71.698,100,753,D1,4
2023,VA,133,24.457,45.283,38.346,1724,D1,4
2023,VT,14,3.369,9.434,0,25,D1,4
2023,WA,39,49.927,72.075,89.744,1032,D1,4
2023,WI,72,46.095,56.604,95.833,1759,D1,4
2023,WV,55,13.036,38.868,21.818,380,D1,4
2023,WY,23,36.751,60.377,69.565,448,D1,4
2024,AL,67,45.48,63.019,95.522,1615,D1,4
2024,AR,75,32.126,43.396,78.667,1277,D1,4
2024,AZ,15,85.157,100,100,688,D1,4
2024,CA,58,4.977,25.66,10.345,153,D1,4
